id,longitude,latitude
315,611595.608, 6875801.139
316,611599.253, 6875800.961
317,611602.899, 6875800.783
318,611606.544, 6875800.604
319,611610.19, 6875800.426
320,611613.836, 6875800.248
321,611617.481, 6875800.07
322,611621.127, 6875799.891
323,611624.773, 6875799.713
324,611628.418, 6875799.535
325,611632.064, 6875799.356
326,611635.71, 6875799.178
327,611639.355, 6875799
328,611643.001, 6875798.821
329,611646.647, 6875798.643
330,611650.292, 6875798.465
331,611653.938, 6875798.287
332,611657.583, 6875798.108
333,611661.229, 6875797.93
334,611664.875, 6875797.752
335,611668.536, 6875797.891
336,611672.235, 6875798.805
337,611874.327, 6875704.638
338,611877.972, 6875704.46
339,611881.618, 6875704.281
340,611885.264, 6875704.103
341,611888.889, 6875703.516
342,611892.535, 6875703.338
343,611896.181, 6875703.16
344,611899.826, 6875702.981
345,611903.472, 6875702.803
346,611907.117, 6875702.625
347,611910.763, 6875702.447
348,611914.409, 6875702.268
349,611918.054, 6875702.09
350,611921.7, 6875701.912
351,611925.346, 6875701.733
352,611928.991, 6875701.555
353,611932.637, 6875701.377
354,611936.283, 6875701.198
355,611939.928, 6875701.02
356,611943.574, 6875700.842
357,611947.22, 6875700.664
358,611950.865, 6875700.485
359,611954.511, 6875700.307
360,611958.156, 6875700.129
361,611961.802, 6875699.95
362,611965.448, 6875699.772
363,611969.093, 6875699.594
364,611972.739, 6875699.415
365,611976.385, 6875699.237
366,611980.03, 6875699.059
367,611983.676, 6875698.881
368,611987.322, 6875698.702
369,611990.967, 6875698.524
370,611994.613, 6875698.346
371,611998.259, 6875698.167
372,612001.904, 6875697.989
373,612005.55, 6875697.811
374,612009.195, 6875697.632
375,612012.841, 6875697.454
376,612016.487, 6875697.276
377,612020.132, 6875697.097
378,612023.778, 6875696.919
379,612027.424, 6875696.741
380,612031.069, 6875696.563
381,612034.715, 6875696.384
382,612038.361, 6875696.206
383,612042.026, 6875696.436
384,612045.672, 6875696.258
385,612049.318, 6875696.08
386,612052.963, 6875695.901
387,612099.912, 6876105.119
388,612103.531, 6876104.411
389,612107.177, 6876104.233
390,612110.823, 6876104.054
391,612114.4682, 6876103.8759
392,612118.1139, 6876103.6976
393,612121.7595, 6876103.5193
394,612125.4052, 6876103.341
395,612129.0508, 6876103.1627
396,612132.6964, 6876102.9844
397,612136.3421, 6876102.8061
398,612139.9877, 6876102.6278
399,612143.6334, 6876102.4495
400,612147.279, 6876102.2712
401,612150.9247, 6876102.0929
402,612154.5703, 6876101.9146
403,612158.2159, 6876101.7363
404,612161.8616, 6876101.558
405,612165.5072, 6876101.3797
406,612169.1529, 6876101.2014
407,612172.7985, 6876101.0231
408,612176.4442, 6876100.8448
409,612180.09, 6876100.667
410,612183.735, 6876100.488
411,612187.399, 6876100.678
412,612191.053, 6876100.661
413,611878.312, 6875827.004
414,611881.958, 6875826.825
415,611885.604, 6875826.647
416,611889.249, 6875826.469
417,611892.875, 6875825.882
418,611896.52, 6875825.703
419,611900.166, 6875825.525
420,611903.812, 6875825.347
421,611907.457, 6875825.169
422,611911.103, 6875824.99
423,611914.749, 6875824.812
424,611918.394, 6875824.634
425,611922.04, 6875824.455
426,611925.686, 6875824.277
427,611929.331, 6875824.099
428,611932.977, 6875823.92
429,611936.623, 6875823.742
430,611940.268, 6875823.564
431,611943.914, 6875823.386
432,611947.559, 6875823.207
433,611951.205, 6875823.029
434,611954.851, 6875822.851
435,611958.496, 6875822.672
436,611962.142, 6875822.494
437,611965.788, 6875822.316
438,611969.433, 6875822.137
439,611973.079, 6875821.959
440,611976.725, 6875821.781
441,611980.37, 6875821.603
442,611984.016, 6875821.424
443,611987.662, 6875821.246
444,611991.307, 6875821.068
445,611994.953, 6875820.889
446,611998.598, 6875820.711
447,612002.244, 6875820.533
448,612005.89, 6875820.354
449,612009.535, 6875820.176
450,612013.181, 6875819.998
451,612016.827, 6875819.82
452,612020.472, 6875819.641
453,612024.118, 6875819.463
454,612027.764, 6875819.285
455,612031.409, 6875819.106
456,612035.055, 6875818.928
457,612038.701, 6875818.75
458,612042.346, 6875818.571
459,612046.012, 6875818.802
460,612049.657, 6875818.623
461,612053.303, 6875818.445
462,612056.949, 6875818.267
463,612091.3, 6875928.989
464,612094.917, 6875928.214
465,612098.541, 6875927.606
466,612102.187, 6875927.428
467,612105.833, 6875927.25
468,612109.478, 6875927.072
469,612113.124, 6875926.893
470,612119.581, 6875984.188
471,612123.226, 6875984.01
472,612126.872, 6875983.832
473,612130.543, 6875984.183
474,612085.766, 6875815.824
475,612089.382, 6875815.05
476,612093.007, 6875814.442
477,612096.652, 6875814.263
478,612100.298, 6875814.085
479,612103.944, 6875813.907
480,612107.589, 6875813.729
481,612111.235, 6875813.55
482,612114.881, 6875813.372
483,612118.547, 6875813.623
484,612122.222, 6875814.041
485,611230.318, 6875518.615
486,611233.959, 6875518.027
487,611237.609, 6875517.97
488,611241.259, 6875517.913
489,611244.9081, 6875517.8553
490,611248.5576, 6875517.7979
491,611252.2072, 6875517.7406
492,611255.8567, 6875517.6833
493,611259.5063, 6875517.6259
494,611263.1558, 6875517.5686
495,611266.8054, 6875517.5113
496,611270.4549, 6875517.4539
497,611274.1045, 6875517.3966
498,611277.754, 6875517.3393
499,611281.4036, 6875517.2819
500,611285.0531, 6875517.2246
501,611288.7027, 6875517.1673
502,611292.3522, 6875517.1099
503,611296.0018, 6875517.0526
504,611299.6513, 6875516.9953
505,611303.3009, 6875516.938
506,611306.9504, 6875516.8806
507,611310.6, 6875516.8233
508,611314.2495, 6875516.766
509,611317.8991, 6875516.7086
510,611321.5486, 6875516.6513
511,611325.1982, 6875516.594
512,611328.8477, 6875516.5366
513,611332.4973, 6875516.4793
514,611336.1468, 6875516.422
515,611339.7964, 6875516.3646
516,611343.4459, 6875516.3071
517,611347.0955, 6875516.2497
518,611350.745, 6875516.1924
519,611354.3946, 6875516.1351
520,611358.0441, 6875516.0777
521,611361.695, 6875516.144
522,611365.345, 6875516.087
523,611368.994, 6875516.029
524,611372.644, 6875515.972
525,611376.293, 6875515.915
526,611379.943, 6875515.857
527,611383.592, 6875515.8
528,611387.242, 6875515.743
529,611390.892, 6875515.685
530,611394.541, 6875515.628
